Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
35.0,94572.166181,71.859231,27.970006,24.941528,662.080523,969.253968,1249.888315,246.37197200000006,529.025974,748.176947,3264.0,9900.0,3567.763054,46722.595143,46738.557985,155.168926,3030.887623,28815.435758,3640.880589,738.262235,1643.554927,255.564621,266.5598,211.897606
36.0,94748.146346,71.849195,27.984701,24.894729,662.100691,969.06496,1249.877639,246.34766480000005,528.900423,748.11795,3264.0,9900.0,3564.452139,46599.468573,46570.153959,155.045504,3035.434388,28814.232544,3685.591884,741.719091,1644.050038,255.929743,266.350931,211.920012
37.0,94870.829516,71.803233,28.005594,24.874585,662.107183,968.846029,1249.87546,246.30944180000006,528.772594,748.064976,3264.0,9900.0,3559.886841,46472.779075,46444.415138,154.868482,3024.471516,28816.415971,3673.909147,745.811339,1644.165032,256.239822,266.061336,211.960891
38.0,94827.191892,71.775074,27.980273,24.93294,662.105804,969.054903,1249.856929,246.31111760000002,528.643128,748.016482,3264.0,9900.0,3570.595291,46613.861152,46642.381928,155.26019,3022.801184,28815.015362,3617.832858,747.738396,1644.390194,256.505442,266.738805,211.976546
39.0,94996.054798,71.790355,28.022518,24.869874,662.078763,968.734647,1249.867411,246.3026504,528.511953,747.969006,3264.0,9900.0,3559.69727,46407.071607,46359.633774,154.846653,3019.460763,28810.831034,3641.926447,751.210966,1643.926298,256.748718,266.049507,211.976391
40.0,94969.325612,71.791581,27.995482,24.919982,662.083778,968.906722,1249.856366,246.29614340000006,528.381174,747.927946,3264.0,9900.0,3567.694474,46526.824378,46542.382693,155.14665,3018.48631,28814.268221,3615.78872,755.058504,1645.332241,256.980419,266.556063,212.023316
41.0,95002.674996,71.813821,28.00285,24.913986,662.10296,968.876471,1249.852054,246.2840114,528.250416,747.887434,3264.0,9900.0,3567.303203,46502.087297,46499.131413,155.126486,3025.051307,28807.833087,3692.603313,758.581945,1644.232273,257.198108,266.53145,212.007404
42.0,95090.188982,71.77501,28.010167,24.891919,662.111469,968.780564,1249.853757,246.24723560000004,528.120823,747.847705,3264.0,9900.0,3563.864167,46439.561289,46416.205404,155.002686,3024.387677,28805.542618,3593.683198,762.200119,1645.175999,257.404712,266.314016,212.016422
43.0,95124.316876,71.810359,27.997465,24.913844,662.076597,968.900838,1249.848972,246.22086380000002,527.99349,747.813274,3264.0,9900.0,3569.845603,46519.618661,46515.404695,155.221174,3015.933266,28803.030342,3619.013397,765.033429,1644.38242,257.590464,266.69189,212.020962
44.0,95214.333594,71.833663,28.020624,24.885025,662.056719,968.703571,1249.854959,246.22167560000003,527.868866,747.779039,3264.0,9900.0,3563.496439,46398.221096,46369.30327,154.980302,3014.851603,28799.592071,3657.053261,767.819647,1644.85937,257.779589,266.290771,212.018969
45.0,95183.458783,71.83083,28.035947,24.919644,662.081058,968.631778,1249.847291,246.21384020000005,527.748134,747.748364,3264.0,9900.0,3561.129757,46367.370794,46375.117795,154.878467,3015.16727,28802.694002,3588.148472,770.12731,1644.828313,258.029748,266.140231,212.059893
46.0,95385.165484,71.879207,28.004994,24.876977,662.091444,968.897856,1249.85705,246.1992386000001,527.630965,747.713378,3264.0,9900.0,3571.493912,46501.36421,46448.643928,155.275599,3013.618043,28795.327817,3655.842337,772.308571,1645.829031,258.202412,266.796042,212.03374
47.0,95493.016157,71.879375,27.982756,24.88275,662.090589,969.027336,1249.868306,246.18757640000007,527.519541,747.684182,3264.0,9900.0,3579.840602,46581.455082,46551.713962,155.587579,3017.477371,28799.992212,3527.372538,774.489493,1645.491247,258.280733,267.31912,212.082897
48.0,95328.104097,71.972584,28.03745,24.942918,662.061188,968.597162,1249.860902,246.16127840000004,527.414185,747.658748,3264.0,9900.0,3564.931736,46355.353745,46393.173562,155.007281,3020.634505,28802.248817,3614.258811,777.219178,1644.945475,258.467465,266.381318,212.116919
49.0,95497.250724,71.999504,27.977907,24.90401,662.076409,969.085142,1249.865943,246.1308998,527.313292,747.628459,3264.0,9900.0,3581.83348,46613.645724,46576.097123,155.660772,3018.513922,28789.249205,3627.755027,779.73571,1645.413776,258.554027,267.44334,212.051983
50.0,95616.070472,72.018116,27.991768,24.878379,662.078598,968.904727,1249.883848,246.1135622,527.219277,747.606108,3264.0,9900.0,3577.929269,46504.695714,46464.30932,155.514197,3015.723133,28793.385589,3796.687185,781.313631,1645.897964,258.581513,267.199882,212.09689
51.0,95682.860821,71.914382,28.016686,24.857903,662.076815,968.664282,1249.900399,246.10386200000002,527.132517,747.587412,3264.0,9900.0,3569.384994,46364.931646,46331.256891,155.193423,3009.577313,28798.784343,3681.102649,782.587002,1645.113247,258.606192,266.663397,212.144759
52.0,95703.552046,71.901414,27.988421,24.889847,662.085846,968.908113,1249.906251,246.1084538,527.053283,747.571588,3264.0,9900.0,3578.955981,46512.518006,46502.416309,155.551767,3009.406776,28801.602042,3618.965082,783.64454,1644.94572,258.594116,267.263873,212.179628
53.0,95719.538921,71.935325,27.980265,24.894301,662.076571,968.957711,1249.911817,246.10303400000006,526.981542,747.558862,3264.0,9900.0,3581.364252,46540.996207,46533.698604,155.643093,3007.073958,28801.583422,3728.633962,784.765956,1645.453838,258.539115,267.414104,212.197956
54.0,95784.020169,71.89068,27.980459,24.888677,662.098136,968.97128,1249.924163,246.10023320000008,526.917667,747.547891,3264.0,9900.0,3582.868093,46540.690139,46517.397815,155.696719,3008.689989,28802.096622,3660.915386,785.84654,1645.613548,258.436943,267.50791,212.2191
55.0,95736.473399,71.895579,27.992452,24.905556,662.084065,968.800067,1249.927369,246.0874694000001,526.861947,747.538465,3264.0,9900.0,3576.476809,46449.175501,46453.21936,155.461077,3005.554456,28804.695035,3653.371904,785.618246,1645.442422,258.362809,267.108748,212.253612
56.0,95729.178413,71.909044,27.988178,24.917751,662.092186,968.886838,1249.927901,246.08457140000004,526.81378,747.5282,3264.0,9900.0,3579.391672,46497.675479,46497.233291,155.565857,3003.783689,28801.130674,3624.162441,787.576584,1645.185995,258.298269,267.290972,212.247856
57.0,95825.169522,71.945828,27.997824,24.884099,662.103456,968.810153,1249.936749,246.08238080000004,526.773264,747.519121,3264.0,9900.0,3575.508028,46441.539195,46408.316552,155.424694,3003.152637,28800.016006,3654.338928,787.290849,1644.619783,258.224898,267.048208,212.257746
58.0,95710.050965,71.961763,28.044551,24.929937,662.109894,968.449268,1249.930721,246.0777692,526.740938,747.514334,3264.0,9900.0,3562.122383,46248.540389,46266.769482,154.907695,3011.158876,28803.834528,3734.536283,787.726332,1645.187152,258.299602,266.203407,212.298787
59.0,95870.897538,71.912977,27.994185,24.893012,662.079366,968.884709,1249.933224,246.04788020000007,526.715116,747.502834,3264.0,9900.0,3576.900564,46484.195622,46442.018621,155.47669,3010.829858,28793.648479,3696.513763,787.963574,1644.289609,258.327167,267.135359,212.250206
